kernel	class	expectation	expected_lower	expected_verify	expected_concepts	expected_candidates	expected_rewrites	key_property
p01_sum_u8_u32	P	recognized	yes	yes	SumReduction	any	any	u8 sum into u32 with u32 induction
p02_count_ge_u32	P	recognized	yes	yes	CardinalityReduction	any	any	u32 >= predicate
p03_count_lt_u16	P	recognized	yes	yes	CardinalityReduction	any	any	u16 < predicate
p04_all_eq_u16	P	recognized	yes	yes	ConjunctiveReduction	any	any	u16 == select-reset
p05_all_ne_u8	P	recognized	yes	yes	ConjunctiveReduction	any	any	u8 != bitwise-and form
p06_sum_u32_u32	P	recognized	yes	yes	SumReduction	any	any	u32 sum into u32
p07_count_eq_const_bound	P	recognized	yes	yes	CardinalityReduction	any	any	u8 == with constant bound 96
p08_any_or_u32	P	recognized	yes	yes	DisjunctiveReduction	any	any	u32 raw-element OR (Any family)
p09_all_ge_u16	P	recognized	yes	yes	ConjunctiveReduction	any	any	u16 >= bitwise-and form
p10_count_ne_do_while_u16	P	recognized	yes	yes	CardinalityReduction	any	any	do-while over u16, != predicate
p11_map_then_sum	P	recall_gap_known	any	any	SumReduction	any	any	transformed-element sum (open recall gap)
p12_two_loops	P	recall_gap_known	any	any	SumReduction	any	any	two sequential loops (open frontend gap)
n01_sum_if_mask	N	safe_abstain	any	any	none	0	0	masked-guard sum (D5 class, non-vacuous)
n02_sum_ternary_gt	N	safe_abstain	any	any	none	0	0	threshold ternary sum (D5 class, non-vacuous)
n03_sum_masked_hi	N	safe_abstain	any	any	none	0	0	high-nibble masked sum (D5 class)
n04_sum_index_conditional	N	safe_abstain	any	any	none	0	0	index-conditional (stride-like) sum
n05_sum_i64_nsw	N	contained_abstain	any	any	any	0	0	signed nsw sum: recognition allowed, authorization must refuse
n06_running_max_u16	N	safe_abstain	any	any	none	0	0	running max seeded from a parameter
n07_two_arrays_u8	N	safe_abstain	any	any	none	0	0	two-array relation (footprint completeness)
n08_store_maybe_alias	N	safe_abstain	any	any	none	0	0	may-alias store inside the loop
n09_volatile_load	N	safe_abstain	any	any	none	0	0	volatile loads (effects)
n10_stride4	N	safe_abstain	any	any	none	0	0	fixed stride 4
n11_atomic_flags	N	safe_abstain	any	any	none	0	0	C11 atomic loads
n12_self_recurrence	N	safe_abstain	any	any	none	0	0	self-referential recurrence without memory
