kernel	class	expectation	expected_lower	expected_verify	expected_concepts	expected_candidates	expected_rewrites	key_property
p01_count_ge_const_u16	P	recognized	yes	yes	CardinalityReduction	any	any	u16 >= predicate, constant bound 80 (promotion + rewrite)
p02_count_eq_const_u8	P	recognized	yes	yes	CardinalityReduction	any	any	u8 == predicate, constant bound 96
p03_count_lt_const_u32	P	recognized	yes	yes	CardinalityReduction	any	any	u32 < predicate, constant bound 64
p04_sum_u8_const_u64	P	recognized	yes	yes	SumReduction	any	any	u8 sum into u64, constant bound 128
p05_sum_u16_const_u32	P	recognized	yes	yes	SumReduction	any	any	u16 sum into u32, constant bound 40
p06_all_ne_const_u8	P	recognized	yes	yes	ConjunctiveReduction	any	any	all != predicate, constant bound 64
p07_any_or_const_u32	P	recognized	yes	yes	DisjunctiveReduction	any	any	raw-element OR, constant bound 64
p08_two_loops_const	P	recognized	yes	yes	SumReduction	any	any	two sequential loops over one constant extent
p09_first_set_const	P	recall_gap_known	any	any	any	any	any	early-return first-set search (early-exit gap)
p10_map_then_sum_const	P	recall_gap_known	any	any	MappedSumReduction	any	any	map-then-sum over a constant extent (candidate gap)
n01_runtime_sum_u8	N	contained_abstain	any	any	any	0	0	runtime extent: recognition allowed, no candidate
n02_runtime_count_ge_u32	N	contained_abstain	any	any	any	0	0	runtime extent cardinality: no candidate
n03_sum_i64_nsw	N	contained_abstain	any	any	any	0	0	signed nsw: recognition allowed, authorization refuses
n04_running_max_const	N	safe_abstain	any	any	none	0	0	running max lookalike (X06 class)
n05_masked_sum_const	N	safe_abstain	any	any	none	0	0	masked-guard sum (D5 class) over a constant extent
n06_stride4_const	N	safe_abstain	any	any	none	0	0	fixed stride 4 over a constant extent
n07_volatile_store	N	safe_abstain	any	any	none	0	0	volatile store (effects)
n08_atomic_load	N	safe_abstain	any	any	none	0	0	C11 atomic loads
n09_may_alias_store	N	safe_abstain	any	any	none	0	0	may-alias store inside the loop
n10_two_arrays_const	N	safe_abstain	any	any	none	0	0	two-array relation (footprint completeness)
n11_nonterminating_reverse	N	safe_abstain	any	any	none	0	0	unsigned `i >= 0` reverse search (totality gate)
n12_early_exit_global	N	safe_abstain	any	any	none	0	0	early exit with a global side effect
