kernel	class	expectation	expected_lower	expected_verify	expected_concepts	expected_candidates	expected_rewrites	key_property
p01_first_eq_key_u16_72	P	recognized	yes	yes	FirstOccurrence	any	any	Eq search u16 extent 72 (rewrite)
p02_first_ne_key_u8_64	P	recognized	yes	yes	FirstOccurrence	any	any	Ne search u8 extent 64 (rewrite)
p03_first_ge_key_u32_56	P	recognized	yes	yes	FirstOccurrence	any	any	Ge search u32 extent 56 (rewrite)
p04_first_lt_key_u8_48	P	recognized	yes	yes	FirstOccurrence	any	any	Lt search u8 extent 48 (rewrite)
p05_first_gt_key_u16_80	P	recognized	yes	yes	FirstOccurrence	any	any	Gt search u16 extent 80 (symbolic + rewrite)
p06_first_eq_zero_u8_64	P	recognized	yes	yes	FirstOccurrence	any	any	Eq-zero search u8 extent 64
p07_first_ne_zero_u8_96	P	recognized	yes	yes	FirstOccurrence	any	any	Ne-zero search u8 extent 96 (symbolic)
p08_first_eq_literal_u8_56	P	recognized	yes	yes	FirstOccurrence	any	any	Eq literal 42, extent 56
p09_first_key_lt_elem_u8_40	P	recognized	yes	yes	FirstOccurrence	any	any	swapped operands: key < elem -> Gt
p10_first_key_ge_elem_u16_64	P	recognized	yes	yes	FirstOccurrence	any	any	swapped operands: key >= elem -> Le
p11_count_ge_const_48	P	recognized	yes	yes	CardinalityReduction	any	any	cardinality >= extent 48 (rewrite)
p12_two_loops_count_sum_64	P	recognized	yes	yes	CardinalityReduction	any	any	two sequential reductions extent 64
p13_first_eq_key_u32_128	P	recognized	yes	yes	FirstOccurrence	any	any	Eq search u32 extent 128 (symbolic + rewrite)
p14_search_compound_and	P	recognized	yes	yes	FirstOccurrence	any	any	compound predicate: recognition, mask refused
p15_search_subrange_short	P	recognized	yes	yes	FirstOccurrence	any	any	sentinel 128 != extent 48 (rewrite refused)
p16_runtime_extent_search	P	recall_gap_known	any	any	any	any	any	runtime-extent search (frontend gap)
p17_do_while_stride4_sum	P	recall_gap_known	any	any	any	any	any	post-tested do-while stride 4 (fidelity)
n01_running_max_const	N	safe_abstain	any	any	none	0	0	running max lookalike (X06)
n02_masked_sum_ternary_const	N	safe_abstain	any	any	none	0	0	ternary threshold sum (D5)
n03_masked_sum_hi_const	N	safe_abstain	any	any	none	0	0	high-nibble masked sum (D5)
n04_volatile_load_const	N	safe_abstain	any	any	none	0	0	volatile loads
n05_atomic_load_const	N	safe_abstain	any	any	none	0	0	C11 atomic loads
n06_may_alias_store_const	N	safe_abstain	any	any	none	0	0	may-alias store
n07_two_arrays_const	N	safe_abstain	any	any	none	0	0	two-array relation
n08_nonterminating_reverse	N	safe_abstain	any	any	none	0	0	unsigned reverse search (totality gate)
n09_early_exit_global_const	N	safe_abstain	any	any	none	0	0	early exit with a global write
n10_runtime_sum_u16	N	contained_abstain	any	any	any	0	0	runtime extent sum
n11_runtime_count_ge_u32	N	contained_abstain	any	any	any	0	0	runtime extent cardinality
n12_signed_sum_const	N	contained_abstain	any	any	any	0	0	signed accumulation
